,dah,PEM2010_INPUT_DTC_ISO_1,PEM2010_INPUT_NP_1,PEM2010_INPUT_RHOB_1,PEM2010_INPUT_RT_1,PEM2010_INPUT_SWE_1,PEM2010_INPUT_SWT_1,PEM2010_INPUT_VCL_1,WELL
7302,3677.0,101.83339,0.45644262,2.4702094,1.1901617,1.0,1.0,0.5228053,EBONI-04
7303,3677.5,103.29441,0.4533626,2.4491394,1.0882174,1.0,1.0,0.5479263,EBONI-04
7304,3678.0,106.69809,0.47347808,2.4586308,0.937243,1.0,1.0,0.57558185,EBONI-04
7305,3678.5,110.31748,0.48958698,2.4638247,0.7946955,1.0,1.0,0.613593,EBONI-04
7306,3679.0,112.88454,0.52827626,2.460788,0.74941427,1.0,1.0,0.67318106,EBONI-04
7307,3679.5,112.10312,0.54063416,2.4686313,0.75038475,1.0,1.0,0.6755726,EBONI-04
7308,3680.0,109.860085,0.52379,2.4794753,0.7937899,1.0,1.0,0.64127314,EBONI-04
7309,3680.5,109.00431,0.49087,2.4749393,0.859043,1.0,1.0,0.6202859,EBONI-04
7310,3681.0,108.07279,0.47821793,2.4849927,0.95233667,1.0,1.0,0.5874832,EBONI-04
7311,3681.5,108.047966,0.47537622,2.5019064,0.90369713,1.0,1.0,0.549578,EBONI-04
7312,3682.0,111.38711,0.48660398,2.4859202,0.7616085,1.0,1.0,0.55811846,EBONI-04
7313,3682.5,114.30844,0.5230989,2.4697127,0.7029231,1.0,1.0,0.59433365,EBONI-04
7314,3683.0,109.73462,0.48129785,2.4908783,0.8215089,1.0,1.0,0.5816626,EBONI-04
7315,3683.5,101.91058,0.42599407,2.5159307,1.1140908,1.0,1.0,0.5573045,EBONI-04
7316,3684.0,100.773415,0.42803,2.5264652,1.1667466,1.0,1.0,0.55836153,EBONI-04
7317,3684.5,103.22866,0.47564316,2.511465,1.0375637,1.0,1.0,0.62068254,EBONI-04
7318,3685.0,102.731575,0.47734237,2.499287,1.1330382,1.0,1.0,0.62506956,EBONI-04
7319,3685.5,100.89561,0.44122848,2.5160766,1.3575295,1.0,1.0,0.579441,EBONI-04
7320,3686.0,99.428024,0.43595052,2.5290647,1.508757,1.0,1.0,0.5725484,EBONI-04
7321,3686.5,98.98267,0.4155753,2.5315967,1.3558769,1.0,1.0,0.52858734,EBONI-04
7322,3687.0,104.68734,0.467357,2.5059829,1.005218,1.0,1.0,0.50790095,EBONI-04
7323,3687.5,111.66526,0.5259585,2.4779484,0.8008035,1.0,1.0,0.559627,EBONI-04
7324,3688.0,115.52447,0.521919,2.4677436,0.7243221,1.0,1.0,0.59231687,EBONI-04
7325,3688.5,116.93444,0.5436009,2.4563603,0.69156426,1.0,1.0,0.5745518,EBONI-04
7326,3689.0,117.481224,0.559879,2.4438481,0.67061496,1.0,1.0,0.575122,EBONI-04
7327,3689.5,117.51789,0.5811245,2.4531562,0.6473189,1.0,1.0,0.5974939,EBONI-04
7328,3690.0,117.88339,0.57431626,2.4706655,0.6188374,1.0,1.0,0.5700395,EBONI-04
7329,3690.5,118.55741,0.52948904,2.4576252,0.5976286,1.0,1.0,0.587691,EBONI-04
7330,3691.0,119.18776,0.48491794,2.442432,0.58300745,1.0,1.0,0.6038235,EBONI-04
7331,3691.5,119.78257,0.4924279,2.4237285,0.5672242,1.0,1.0,0.62482846,EBONI-04
7332,3692.0,119.99015,0.51408446,2.4090889,0.563494,1.0,1.0,0.64618856,EBONI-04
7333,3692.5,119.952866,0.5165125,2.4104822,0.57151794,1.0,1.0,0.656134,EBONI-04
7334,3693.0,120.036156,0.53104055,2.4121575,0.5820395,1.0,1.0,0.6801931,EBONI-04
7335,3693.5,119.25372,0.48740107,2.4112291,0.58955365,1.0,1.0,0.6113979,EBONI-04
7336,3694.0,117.64391,0.49720895,2.4149356,0.59559995,1.0,1.0,0.62562805,EBONI-04
7337,3694.5,118.04221,0.53058106,2.4149835,0.58660656,1.0,1.0,0.6769455,EBONI-04
7338,3695.0,119.64759,0.54934216,2.4199932,0.5711694,1.0,1.0,0.71050787,EBONI-04
7339,3695.5,119.97106,0.53355265,2.433452,0.56740946,1.0,1.0,0.6976695,EBONI-04
7340,3696.0,119.397766,0.50128347,2.4588728,0.5632035,1.0,1.0,0.656474,EBONI-04
7341,3696.5,118.76084,0.51047003,2.471261,0.5637964,1.0,1.0,0.670856,EBONI-04
7342,3697.0,118.067726,0.52220947,2.4637399,0.56039315,1.0,1.0,0.67395896,EBONI-04
7343,3697.5,117.96922,0.53586334,2.4519389,0.5556166,1.0,1.0,0.6698205,EBONI-04
7344,3698.0,118.890335,0.52843446,2.436212,0.56366503,1.0,1.0,0.6628329,EBONI-04
7345,3698.5,120.033424,0.5177726,2.433142,0.5823848,1.0,1.0,0.66783106,EBONI-04
7346,3699.0,117.60254,0.51935214,2.451313,0.62077683,1.0,1.0,0.67707944,EBONI-04
7347,3699.5,107.781815,0.47644204,2.4928777,0.78700906,1.0,1.0,0.624408,EBONI-04
7348,3700.0,101.25535,0.4292375,2.510201,0.97203255,1.0,1.0,0.559796,EBONI-04
7349,3700.5,99.89815,0.41191792,2.4976232,1.1329547,1.0,1.0,0.5382111,EBONI-04
7350,3701.0,98.22399,0.41586807,2.500288,1.3452357,1.0,1.0,0.53208095,EBONI-04
7351,3701.5,97.10618,0.406814,2.5017133,1.7877214,1.0,1.0,0.50427204,EBONI-04
7352,3702.0,96.823235,0.37389,2.490766,2.364628,1.0,1.0,0.4636,EBONI-04
7353,3702.5,94.17842,0.34349054,2.490496,2.7638385,1.0,1.0,0.43909478,EBONI-04
7354,3703.0,94.1443,0.3297,2.4818242,2.4289393,1.0,1.0,0.42462245,EBONI-04
7355,3703.5,97.74703,0.36268196,2.4825156,1.8565395,1.0,1.0,0.46855655,EBONI-04
7356,3704.0,98.58665,0.39233106,2.4881964,1.8102704,1.0,1.0,0.5108589,EBONI-04
7357,3704.5,97.0435,0.40238953,2.496413,1.9130197,1.0,1.0,0.5204319,EBONI-04
7358,3705.0,98.15489,0.427914,2.5105622,1.671224,1.0,1.0,0.546817,EBONI-04
